Ref;Nombre;instalaciones;Dirección;Municipio;Código Municipio;Provincia;Código Provincia;Teléfono
1032;PARQUE SALUDABLE MUNICIPAL;Parque saludable;ATXURIZUBI KALEA S/N ;Mungia;069;Bizkaia;48;34946743412
1033;BOLERA BAROJA;Bolera;C/ DEL REAL S/N ;Peñacerrada-Urizaharra;044;Araba/Álava;01;34945367004
1034;GR-282 SENDA DEL PASTOREO;Sendero;Bº Urkiola (Toki-Alai) s/n ;Abadiño;001;Bizkaia;48;34946215530
1035;GR 38 RUTA DEL VINO Y EL PESCADO;Sendero gran recorrido;C/ DEL PORTAL DE CRISTO S/N ;Lagrán;030;Araba/Álava;01;34945378059
1036;PISTA DEPORTIVA DE ALCEDO;Pista deportiva;ALCEDO S/N ;Lantarón;902;Araba/Álava;01;34945332024
1037;PLAYA;Zona de baño;C/ LERSUNDI S/N ;Deba;029;Gipuzkoa;20;34943192840
1038;PARQUE DE JUEGOS;Puestos  de tenis de mesa#Mesas de ajedrez;C/ Iturritza s/n ;Berriz;019;Bizkaia;48;34946824036
1039;PLAYA KARRASPIO;Zona de actividad fisico-deportiva en playas y ríos;KARRASPIO HONDARTZA S/N ;Mendexa;063;Bizkaia;48;34946842106
1040;REFUGIO ALMIKE;;ALMIKE AUZOA S/N ;Bermeo;017;Bizkaia;48;34902540999
1041;C.E.I.P. LEARRETA-MARKINA;Gimnasio#Pista polideportiva;C/ Learreta-Markina s/n ;Berriz;019;Bizkaia;48;34946824344
1042;PARQUE SALUDABLE;Parque saludable;ALAMEDA PEATONAL DE GERNIKA S/N ;Arrasate/Mondragón;055;Gipuzkoa;20;34943252000
1043;PÓRTICO IGLESIA DE URRESTILLA Y FRONTÓN DE LA PLAZA;Frontón de la plaza#Frontón de la iglesia;Antxieta plaza s/n ;Azpeitia;018;Gipuzkoa;20;34943813069
1044;FRONTÓN MUNICIPAL;Frontón;ALDAI AUZOA S/N ;Fruiz;035;Bizkaia;48;34946153210
1045;PISCINAS MUNICIPALES;1 vaso grande#2 vaso pequeño#3 vaso recreativo#4 sala de musculación#5 spinning#6 tatami#7 aerobic#8 frontón pequeño a#Frontón pequeño b 9#10 vaso exterior;Salbe auzunea 13 ;Azpeitia;018;Gipuzkoa;20;34943814121
1046;HOSPITAL PSIQUIÁTRICO S. JUAN DE DIOS;Pista polideportiva con frontón#Campo fútbol#Gimnasio;Bº GARAGARTZA (CTRA GI-2620) 14 ;Arrasate/Mondragón;055;Gipuzkoa;20;34943793900
1047;GR 280 URIBE;Sendero;ELEJALDE AUZOA S/N ;Gamiz-Fika;038;Bizkaia;48;34946153114
1048;BOLERA DEL BARRIO IZARRAITZ;Bolera;Atanotarren plaza s/n ;Azkoitia;017;Gipuzkoa;20;34943857170
1049;FRONTÓN GÁMIZ;Frontón#Pista polideportiva cubierta;ERGOIEN AUZOA S/N ;Gamiz-Fika;038;Bizkaia;48;34946153114
1050;BOLERA MEATZ-ERREKA;Bolera;Bº MEATZ-ERREKA S/N ;Arrasate/Mondragón;055;Gipuzkoa;20;34943252000
1051;FRONTÓN MUNICIPAL DE APATA;Frontón;PL. de los Fueros s/n ;Atxondo;091;Bizkaia;48;34946821009
1052;PISCINAS ELKARGUNEA UGARTE-IGARAN;Vaso recreativo#Piscina chapoteo;Santa Cruz auzoa s/n ;Azkoitia;017;Gipuzkoa;20;34943084000
1053;FRONTÓN DE HERRIKO PLAZA;Frontón#Probadero#Bolera;Herriko plaza s/n ;Aizarnazabal;003;Gipuzkoa;20;34943897053
1054;IZKI GOLF;Campo de golf;CAMPO DE GOLF URTURI -- ;Bernedo;016;Araba/Álava;01;34945378262
1055;RUTA BTT 09 GR-1;Ruta en bicicleta;C/ DE LA RIOJA S/N ;Peñacerrada-Urizaharra;044;Araba/Álava;01;34945405424
1056;CARRIL BICI;Carril bici;AVDA UNIVERSIDAD S/N ;Oñati;059;Gipuzkoa;20;34943780411
1057;CAMPO DE FÚTBOL AZKOAGAIN;Campo de fútbol;CTRA ARANTZAZU S/N ;Oñati;059;Gipuzkoa;20;34943780411
1058;INSTALACIONES URBANIZACIÓN BAKEA FASE 2;Vaso recreativo#Vaso chapoteo#Pista padel;GOIENKALE KALEA S/N ;Bakio;012;Bizkaia;48;34946194001
1059;GIMNASIO DE ALCEDO;Gimnasio;ALCEDO S/N ;Lantarón;902;Araba/Álava;01;34945332024
1060;ÁREA DE ENTRENAMIENTO;Área de entrenamiento#Tenis de mesa;Padura S/N ;Güeñes;045;Bizkaia;48;34946692573
1061;TENIS DE MESA PARQUE ALDAPA;Mesas de ping-pong;C/ Aldapa S/N ;Leioa;054;Bizkaia;48;34944008000
1062;PISTA DE BALONCESTO;Pista de baloncesto;Plaza Lehendakari Aguirre S/N ;Balmaseda;090;Bizkaia;48;34946800000
1063;CAMPO DE FÚTBOL ZARKUMENDEGI;Campo de fútbol#Pista de fútbol;C/ CAMINO ELIZONDO S/N ;Astigarraga;903;Gipuzkoa;20;34943333676
1064;FRONTÓN DEL AYUNTAMIENTO;Frontón;PL. DE LOS FUEROS S/N ;Astigarraga;903;Gipuzkoa;20;34943335050
1065;PARQUE INFANTIL DE URDANETA;Frontón;Urdaneta auzoa 7 ;Aia;016;Gipuzkoa;20;34943131144
1066;FRONTÓN DE ALTZOLA;Frontón;Altzola auzoa 8 ;Aia;016;Gipuzkoa;20;34943131144
1067;FRONTÓN AULA MEDIOAMBIENTAL;Frontón;Lauroeta etorbidea 31 ;Loiu;903;Bizkaia;48;34944712310
1068;PISTA DEPORTIVA DE ARRIETA;Pista deportiva;CTRA  A-4109 S/N ;Iruraiz-Gauna;027;Araba/Álava;01;34945300991
1069;PLAYA GAZTETAPE;Zona de baño;C/ PUERTO S/N ;Getaria;039;Gipuzkoa;20;34943896024
1070;CLUB DE PIRAGUISMO PLENTZIA;Sala de musculación;ONDARRETA KALEA S/N ;Plentzia;077;Bizkaia;48;34946773210
1071;PARQUE URIBE UDAKO IGERILEKUAK;Vaso recreativo#Vaso de chapoteo;Landa etorbidea S/N ;Derio;901;Bizkaia;48;34944540159
1072;FRONTÓN MUNICIPAL;Frontón#Probadero;Bº San Miguel s/n ;Garai;039;Bizkaia;48;34946816393
1073;ESPACIO DE FÚTBOL SALA DE ARBULO;Pista de fútbol sala;C/ EDERKI S/N ;Elburgo/Burgelu;021;Araba/Álava;01;34945420713
1074;INSTALACIONES DE URBANIZACIÓN BORGETO;Vaso recreativo#Vaso chapoteo;C/ MENDILAUTA 21 ;Zarautz;079;Gipuzkoa;20;34943005100
1075;INSTALACIONES DE URBANIZACIÓN SALBIDE 2;Pista de pádel;C/ SALBIDE 2 ;Zarautz;079;Gipuzkoa;20;34943005100
1076;ALBERGUE IGERAIN;Sala polivalente;C/ SAN IGNACIO 25 ;Zarautz;079;Gipuzkoa;20;34943132910
1077;INSTALACIONES PARQUE ITURRETA;Frontón#Pista tenis#Rocódromo;ITURRETA PARKEA S/N ;Sopela;085;Bizkaia;48;34944065505
1078;CAMPO DE TIRO SAN TELMO;Campo de tiro#Tiro con arco;Montaña auzoa s/n ;Hondarribia;036;Gipuzkoa;20;
1079;CAMPO DE FÚTBOL;Campo de fútbol;C/ LA ESPINA S/N ;Oyón-Oion;043;Araba/Álava;01;34945622190
1080;SALA DE AJEDREZ;Mesas de ajedrez;Kale Nagusia 80 ;Azkoitia;017;Gipuzkoa;20;34943084000
